16/01/2009;21:00;CL35A #41 120, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
17/01/2009;16:40;CL36 #18 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
17/01/2009;10:20;CR22 #39 22, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
17/01/2009;11:40;CR28 #39 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
18/01/2009;14:30;CR33 #45 75, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
18/01/2009;16:30;CR27 #22 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
19/01/2009;4:33;CL25 #30 3, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
19/01/2009;21:00;CL32A #30 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
19/01/2009;17:00;CL47 #25 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
20/01/2009;21:50;CR28 #29 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
20/01/2009;7:35;CL26 #33 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
20/01/2009;18:00;CL38 #11A 5, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
20/01/2009;16:30;CR22 #28 46, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
20/01/2009;11:30;CR28 #23 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
21/01/2009;12:30;CR32 #34 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
21/01/2009;11:00;CL27 #17 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
22/01/2009;13:00;CR19 #39 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
22/01/2009;17:15;CR32 #19 58, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
22/01/2009;18:20;CL22 #23 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
22/01/2009;16:30;CL26A #19 13, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
22/01/2009;15:30;CL32 #38 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
23/01/2009;22:00;CL33 #26 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
23/01/2009;12:00;DG30C #11 48, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
23/01/2009;12:00;CR39A #40A 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
23/01/2009;21:00;CL18 #26 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
24/01/2009;21:00;CL29 #26 36, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
24/01/2009;5:30;CL29 #33 97, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
25/01/2009;11:30;CL37A #21 56, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
25/01/2009;12:30;CL42 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
25/01/2009;7:00;CL48 #37 99, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
25/01/2009;12:00;CR19 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;7:30;CR26 #18 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;15:30;CR27 #31 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;17:30;CL31 #29 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;17:00;CL34 #17 34, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;15:00;CL53 #39 32, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;18:50;CL56 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
26/01/2009;10:30;CR25 #14A 8, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;15:00;CR28 #24 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;19:10;CR30 #41 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;8:00;CR32 #19 58, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;21:00;CR37 #35 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;8:30;CR5A #43C 12, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;10:30;CL37 #42 43, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;7:40;CL41 #19 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;14:00;CL42 #2 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;13:30;CR31 #17 16, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;12:30;CL9 #8 44, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;7:40;CL28 #19 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
27/01/2009;9:00;CL28 #19 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;19:00;CL31 #31 63, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;16:00;CL37 #24 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;15:30;CR29 #27 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;15:30;CR32 #30 66, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;21:00;CR33 #31 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;6:00;CL60 #27A 18, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;15:45;CR42 #6 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;12:00;CL60 #27 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;18:50;CR26 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
28/01/2009;16:15;CR30 #24 77, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
29/01/2009;9:00;CL30 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
29/01/2009;14:25;CL37 #21 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
29/01/2009;21:00;CL57A #37 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
29/01/2009;9:00;CR29 #69 79, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
29/01/2009;16:08;CL37 #30 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;16:08;CL37 #30 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;17:50;DG30A, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;9:00;CR34 #33 58, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;12:00;CR36 #23 32, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;17:30;CL48 #38 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;16:00;CR23 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;7:15;CR33 #31 32, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;21:00;CL46 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
30/01/2009;11:20;CL56 #22 3, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
31/01/2009;13:30;CR16 #39 69, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
31/01/2009;10:00;CR16 #47D 56, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;21:00;CR23 #40 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;9:00;CR26 #10 21, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;15:20;CR30 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;9:30;CR32 #12 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;21:00;CR33 #64 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
01/02/2009;21:40;CL31 #44 239, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
02/02/2009;10:00;CL40 #15 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
02/02/2009;10:35;CR29 #47 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
02/02/2009;21:00;CR31 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
02/02/2009;10:00;CR31 #67 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;21:30;CL23 #28 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;9:00;CL26 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;9:00;CL30 #31 29, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;10:00;DG65 #31 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;22:05;CR28 #65A 27, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
03/02/2009;15:00;CR29 #33 21, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
04/02/2009;12:40;CL31 #44 239, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
04/02/2009;3:00;CL41 #22 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
04/02/2009;12:20;CR28 #31 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
04/02/2009;3:00;CL9 #86 19, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;18:30;CL28 #32 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;6:20;CL35 #24 10, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;11:00;CR17 #34 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;19:00;CL27 #26 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;0:20;CL39 #40 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;20:45;CL44 #10 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;15:15;CR29 #25 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
05/02/2009;8:00;CL31 #30 2, Palmira - Valle del Cauca, Colombia;HURTOPERSONAS
